	Case1	Case2	Case3	Case4	Ctrl1	Ctrl2	Ctrl3	Ctrl4
Isca2	32.58	523.99	501.42	84.41	204.93	84.99	131.99	42.99
Iscu	29.21	116.25	1024.15	207.74	1338.81	1759.62	1049.47	788.21
Isl2	85.34	7.58	5.49	119.41	812.70	230.97	572.96	428.93
Isoc1	6.98	312.24	20.46	15.66	1189.37	509.33	665.93	258.95
Isoc2a	1.02	1.06	5.54	5.29	41.37	42.73	15.21	60.35
Ist1	1225.95	3423.75	1149.82	4967.54	696.47	273.31	443.77	318.58
Isy1	794.56	386.42	1650.82	180.50	3581.47	1915.68	1457.19	1270.61
Isyna1	5352.62	26800.34	30627.14	28224.58	350.87	589.92	549.96	159.97
Itch	1070.68	698.38	1860.28	1428.48	3139.14	1877.66	1546.08	1218.13
Itfg1	201.23	0.82	0.90	167.87	287.90	740.90	304.98	381.94
Itfg2	97.55	840.59	658.87	26.68	242.20	94.72	174.86	70.51
Itga1	1.22	6.83	4.93	0.98	35.64	78.04	7.01	19.00
Itga3	331.35	0.98	22.29	223.01	295.89	119.98	22.00	22.00
Itga4	4.53	22.03	30.80	3.22	426.96	428.65	279.31	201.10
Itga5	47.02	133.68	29.22	40.12	786.71	161.98	336.98	131.98
Itga6	638.36	300.54	5.00	623.38	13313.22	12041.39	10548.54	5755.04
Itga7	1.37	10.16	20.79	11.25	66.86	52.93	28.60	19.02
Itgam	162.37	213.85	326.85	378.34	10.20	17.11	5.03	2.00
Itgav	0.96	147.34	92.54	0.98	3.00	24.00	78.99	15.00
Itgb1	289.38	670.35	294.18	1382.80	3152.85	1846.75	1351.91	1329.78
Itgb1bp1	293.21	1382.66	1098.80	1239.16	654.14	930.38	835.58	278.87
Itgb3bp	2.54	7.00	2.32	111.70	149.98	135.00	56.52	20.00
Itgb4	0.96	0.98	1.12	47.95	3.01	235.62	103.99	137.98
Itgb5	188.67	337.61	468.28	393.20	8.78	9.00	6.00	53.83
Itgb6	1.32	5.28	2.55	1.01	973.95	694.03	660.45	279.40
Itm2b	6.71	1.95	10.57	4.13	1635.40	3126.58	1363.91	1039.83
Itm2c	22.97	120.70	18.85	178.96	8.00	42.99	115.99	38.99
Itpa	538.36	2339.03	1668.12	1867.09	395.41	712.32	613.76	466.27
Itpa-ps1	22.20	110.14	65.80	98.97	17.44	51.57	71.19	81.64
Itpk1	1.92	27.02	244.21	7.85	4520.81	5693.71	3801.45	2725.67
Itpr1	3.43	7.04	1.00	1.00	5405.04	4733.38	3462.77	2072.66
Itpr2	1.97	2.93	1.96	128.21	15537.49	16029.98	10733.33	8376.62
Itpr3	216.56	400.06	12.66	271.44	7.00	217.97	239.98	84.99
Itsn1	23.32	504.53	10.54	1.12	2739.11	6208.77	4025.39	2317.91
Itsn2	192.42	120.02	311.72	194.75	8737.91	8275.63	8141.75	4692.32
Ivd	11.83	1090.00	19.07	10.73	533.02	664.91	314.12	43.99
Ivns1abp	1374.08	3305.89	5423.77	4075.97	712.74	359.95	213.97	191.97
Iws1	440.75	747.60	435.16	403.67	2025.27	2365.13	2522.43	1920.18
Jade2	3.62	3.20	3.40	37.60	11251.89	9961.84	7663.65	4707.26
Jag1	21.50	338.15	0.89	225.08	9354.59	13130.24	10878.28	6216.96
Jag2	40.25	320.05	52.60	350.67	2051.25	3009.60	2289.85	1405.77
Jagn1	306.63	889.90	680.12	1225.61	1595.26	2309.85	1881.88	1453.23
Jak1	293.21	1600.25	541.61	502.04	14685.64	13457.20	11835.19	6646.89
Jak2	1.14	2.02	151.96	9.20	26365.34	21906.12	21071.62	12501.87
Jakmip1	2.63	619.77	372.66	18.38	178.30	135.38	173.73	64.66
Jam2	17.25	11.71	0.97	118.41	341.45	438.35	417.91	245.43
Jarid2	2701.22	8653.41	13791.50	10207.93	18651.19	18427.58	12958.11	9474.42
Jcad	3.13	8.90	1.95	8.05	83.97	29.00	109.99	110.98
Jkamp	0.96	200.22	758.64	329.39	2070.44	3557.12	2624.34	1326.57
Jmjd1c	2.19	1496.89	725.55	652.13	1378.55	1142.85	1341.91	1092.83
Jmjd4	3.19	10.41	19.58	838.48	67.80	40.41	12.31	13.76
Jmjd6	215.60	1090.90	1793.34	311.20	2270.17	3295.56	2197.85	1536.74
Jmjd8	150.43	99.58	85.76	35.10	400.87	470.84	473.43	210.16
Jmy	123.61	2277.44	612.72	814.22	926.66	634.92	332.98	171.97
Josd1	3.24	638.84	24.35	13.96	3781.60	4567.96	3295.40	1726.71
Josd2	4.79	374.69	49.68	180.07	35.99	46.99	90.99	45.99
Jph1	59.41	205.31	2.55	0.98	515.81	136.98	133.99	121.98
Jpt1	3419.88	3205.39	8313.86	6044.97	2273.09	2967.60	2824.81	3530.41
Jpx	12.25	7.03	12.44	3.38	13.37	10.30	6.90	5.16
Jtb	17.25	27.32	584.47	192.79	236.91	136.98	147.99	88.99
Jund	23.00	47.92	70.14	46.00	159.94	40.99	94.99	69.99
Jup	77.62	593.37	536.19	85.57	762.21	605.61	655.13	100.49
Kalrn	13.42	202.96	48.71	279.89	3137.86	2692.64	3254.78	1561.74
Kank1	2.42	8.78	5.35	1.52	1.00	44.99	31.00	48.99
Kank2	49.06	153.98	99.86	752.62	1147.24	782.58	682.25	323.80
Kank4os	214.48	34.59	23.38	94.07	1000.64	277.96	472.97	552.91
Kansl1	217.52	1573.91	134.43	389.49	4831.24	6493.13	4264.72	2750.54
Kansl1l	0.97	46.38	45.07	46.45	267.90	811.23	448.15	411.18
Kansl2	196.43	1768.57	1632.97	1226.80	2362.84	2522.75	1545.25	1581.52
Kansl2-ps	151.86	83.43	393.18	75.76	196.23	114.90	95.65	36.20
Kansl3	794.37	257.60	777.34	457.02	2263.18	1319.82	959.94	582.90
Kantr	1.66	1.96	5.32	6.06	743.55	753.68	454.10	541.91
Kars	2186.86	2692.71	6080.88	7146.52	3720.74	5799.89	3369.74	2358.34
Kat14	180.14	890.87	12.44	662.53	19135.05	19552.40	17860.81	10976.17
Kat2a	1.92	1926.16	1730.02	852.38	1467.47	1676.78	1220.92	570.90
Kat2b	5.75	9.94	88.77	5.15	849.25	1209.21	540.77	804.87
Kat5	72.04	849.17	1432.24	380.18	464.55	795.61	868.93	445.24
Kat6a	635.28	1260.69	231.82	1.86	4294.55	2896.68	2656.86	2117.65
Kat6b	680.34	1210.87	714.97	1396.34	10043.68	12173.68	7350.80	5216.12
Kat6b-ps2	0.34	1.03	3.32	3.10	24.46	62.71	22.49	23.89
Kat7	441.27	1714.79	2677.80	1153.92	7997.79	8695.95	6639.57	4719.63
Kat8	44.42	473.46	2166.81	1476.62	1279.97	1102.94	1601.82	857.46
Katna1	426.41	90.75	931.02	1414.99	2264.78	2422.53	1160.40	1637.90
Katnal1	0.43	6.83	26.13	0.96	2287.92	2001.23	1583.90	1422.16
Katnb1	1.61	57.10	527.43	204.58	2145.11	1732.26	1002.32	807.62
Katnbl1	561.37	234.18	888.45	96.59	3912.06	5184.10	3622.99	3156.40
Kazn	220.38	141.65	14.57	377.91	751.99	1049.53	470.76	351.01
Kbtbd11	4.29	5.40	15.59	0.90	312.52	103.94	171.68	68.01
Kbtbd4	0.81	342.14	1562.93	534.83	720.99	1010.26	956.60	562.54
Kbtbd6	2.37	16.99	53.50	194.38	2649.76	2197.59	1234.81	1332.73
Kbtbd7	77.62	153.20	227.46	0.84	13557.35	14416.17	14811.12	9268.51
Kbtbd8	491.66	7.81	683.86	9.79	22183.92	34381.40	25145.35	20110.69
Kcmf1	354.54	1687.10	1377.40	2806.70	20651.51	20474.23	13111.13	11098.15
Kcna2	0.79	5.03	8.98	4.11	5.13	7.59	8.62	19.55
Kcnh7	323.68	4.43	7.57	1.11	18.38	10.88	17.73	8.68
Kcnma1	0.97	5.86	7.39	0.98	362.48	795.40	337.64	249.30
Kcnq1ot1	98.99	115.84	279.26	41.06	200.66	77.56	108.04	55.06
Kcnq3	0.98	10.59	0.98	7.98	9.78	24.49	24.19	29.58
Kctd1	0.43	161.15	3.80	1.13	186.83	138.32	160.41	56.79
Kctd10	365.99	572.41	607.02	2196.34	14455.32	15218.64	10729.70	6446.58
Kctd13	16.29	67.33	418.87	338.60	5989.82	5044.33	4191.65	2921.51
Kctd15	18.89	85.87	7.31	27.95	92.97	15.00	11.35	8.00
Kctd18	2.87	160.64	165.60	230.96	123.95	33.00	205.46	66.01
Kctd2	0.96	349.75	8.93	290.65	42.98	160.98	132.99	183.97
Kctd20	423.53	923.75	235.62	1266.34	1758.36	1481.81	725.95	753.87
Kctd3	5.45	496.90	337.00	3.91	10164.36	10358.39	8730.63	4112.24
Kctd5	169.60	374.69	1075.42	271.08	6119.77	5907.21	4571.70	3110.48
Kctd6	38.94	516.21	308.16	46.97	124.95	266.96	204.99	274.95
Kctd9	45.04	638.15	412.05	112.54	589.78	370.95	692.95	544.91
Kdelc2	54.85	6.95	3.21	1.16	15.37	9.13	5.15	1.12
Kdelr1	1.92	1.64	24.68	222.00	2047.25	2222.70	1832.88	1176.80
Kdelr2	212.06	310.42	158.86	1724.85	11914.45	7851.74	8528.10	4452.66
Kdm1a	901.68	965.03	1067.63	3142.36	7690.20	6450.14	5697.62	3251.46
Kdm1b	22.77	94.40	406.85	34.71	9007.05	7234.73	7562.98	5184.80
Kdm2a	95.14	147.90	210.10	200.03	3620.43	2259.24	2251.50	1684.47
Kdm2b	2988.90	1706.27	5781.05	3187.25	17174.25	23093.33	16117.12	10560.25
Kdm3a	117.86	1040.17	25.33	119.39	474.83	499.93	320.98	458.92
Kdm3b	380.83	2704.13	929.53	723.65	289.38	255.46	241.84	351.20
Kdm4a	3.04	74.16	14.61	3.91	1373.50	1359.82	1202.92	463.92
Kdm4b	154.20	28.30	92.54	129.18	95.97	144.98	226.98	38.99
Kdm5a	161.60	3204.56	1520.86	1462.76	1516.89	898.16	1008.57	401.91
Kdm5b	967.80	2273.43	5453.70	3819.58	124.07	186.98	104.06	53.88
Kdm5c	330.59	8.78	1425.84	289.67	1291.53	1924.74	1394.90	1442.76
Kdm5d	16.17	23.36	3.51	4.51	5566.59	6636.39	3994.05	4058.44
Kdm6a	349.76	385.43	725.72	1541.33	15012.53	9493.73	9247.41	5412.10
Kdm6b	508.81	258.65	514.32	736.91	5242.98	4805.36	5171.53	3811.36
Kdm7a	171.82	2257.78	3532.63	802.52	15965.19	15022.64	12012.70	9777.32
Kdsr	20.01	846.85	134.89	61.15	1172.39	1666.10	979.94	339.61
Keap1	0.96	1569.87	1177.76	180.98	678.07	940.87	539.25	311.80
Khdc1a	129.11	1087.87	2254.31	324.63	6811.04	5405.49	4044.47	3358.64
Khdc1b	7.32	40.36	59.49	19.04	148420.86	146374.43	115066.38	97497.06
Khdc1c	52.33	102.20	499.43	373.66	7157.27	5672.58	4443.78	3403.26
Khdc3	605.58	1677.60	2382.79	671.87	1432.54	697.78	500.10	887.17
Khdrbs1	168.03	487.25	1169.84	2884.38	3358.24	2104.74	1219.15	2009.73
Khdrbs2	42.24	26.35	209.72	178.11	43.58	43.09	19.28	122.29
Khsrp	902.64	3416.15	1856.66	1648.98	3743.63	4971.34	2853.81	2395.60
Kidins220	770.37	715.24	1081.26	121.35	3308.79	2507.66	2740.81	1731.71
Kif11	1061.11	2401.19	930.42	3872.96	3936.31	3986.57	3219.68	2419.06
Kif13a	0.96	76.11	3.00	18.59	608.78	176.98	75.00	80.99
Kif13b	334.42	88.94	519.80	4.89	2277.32	1350.99	1889.25	827.93
Kif14	0.96	6.29	1034.34	24.88	5035.09	6406.57	3995.97	2384.36
Kif15	45.39	986.81	435.11	266.49	1.84	48.31	138.22	32.72
Kif16b	1349.17	1249.96	1645.28	1234.05	1804.35	1203.84	887.09	397.98
Kif18a	263.90	62.43	808.82	529.44	2253.01	2427.44	2368.96	1378.05
Kif18b	192.60	2.49	242.55	32.29	139.95	258.97	342.98	170.97
Kif1b	155.23	781.19	80.60	922.09	4668.93	3963.28	1934.55	2720.41
Kif1bp	71.11	58.55	240.61	328.82	823.70	1876.75	1513.90	862.86
Kif1c	1.92	22.84	17.92	90.56	81.99	60.00	49.00	13.00
Kif20a	2566.98	1588.19	2153.26	2819.21	6246.77	8177.28	7370.44	4348.66
Kif20b	1343.42	3841.59	1506.95	1887.77	7534.25	8793.82	6780.55	5063.16
Kif21b	1.92	102.46	4.81	1195.39	105.96	121.98	343.98	48.99
Kif22	1428.64	1852.96	4368.83	3659.95	4038.49	3642.44	2429.81	2105.64
Kif22-ps	6.77	9.77	11.76	15.76	28.03	31.06	18.03	20.01
Kif23	646.23	4564.62	6452.73	5356.02	31734.19	32728.45	25704.09	16934.11
Kif24	1192.45	9104.91	4771.87	2103.39	1472.95	2397.16	1113.79	796.92
Kif2a	320.09	200.68	937.72	1019.74	4699.63	4853.54	5469.62	3619.95
Kif2c	887.12	0.98	43.06	242.29	2203.26	2519.13	1826.50	1605.28
Kif3a	255.62	58.23	452.96	293.64	2341.24	2331.33	1752.53	1554.41
Kif3c	400.09	152.22	15.56	646.31	63.43	350.27	467.67	28.01
Kif4	311.74	404.94	642.60	220.54	6869.79	9311.51	6984.78	4693.80
Kif5b	888.41	3029.93	7028.89	4974.93	6890.23	7881.90	5563.68	4264.17
Kif5c	1.20	7.81	103.40	64.76	4303.43	3873.49	2522.83	2598.57
Kif9	114.34	570.90	335.10	2.28	163.65	570.92	169.99	93.98
Kifap3	5.69	79.98	553.38	2.94	1.00	42.99	11.00	101.98
Kifc1	99.78	368.05	253.10	50.84	831.95	619.59	841.36	502.58
Kifc3	19.47	2946.30	1538.66	151.64	5020.28	4431.92	3665.37	3071.73
Kifc5b	27.68	40.79	14.78	54.84	219.13	127.29	245.72	222.30
Kin	163.86	107.33	42.86	266.19	547.80	512.93	668.96	522.91
Kit	103.49	50.88	36.24	48.84	9898.39	10255.64	9082.40	5968.01
Kiz	399.58	18.36	21.43	262.27	808.71	711.90	650.96	497.92
Kl	2.56	1.00	6.11	0.99	148.48	33.22	45.33	85.91
Klc1	25.95	17.56	134.43	238.40	675.75	336.96	219.99	200.97
Klc2	0.42	1.20	14.67	127.22	426.84	215.97	435.97	207.97
Klc4	6.71	160.03	196.77	735.93	90.97	198.97	604.96	133.98
Klf10	38.33	196.13	1771.91	1866.70	269.90	199.97	30.00	289.95
Klf11	5.03	461.54	2.84	944.37	6216.74	7270.02	5745.62	4305.29
Klf13	873.93	724.63	569.58	1662.24	31.37	29.61	60.06	95.71
Klf16	32.58	0.98	263.98	37.19	4795.25	3119.58	2357.84	1499.75
Klf17	0.50	26.35	27.16	263.25	19921.73	29143.10	21771.56	14725.55
Klf2	114.99	321.03	1062.76	456.04	3.00	113.98	99.99	154.97
Klf3	3.66	109.60	24.97	2.25	84.17	51.00	130.72	17.28
Klf4	470.49	1909.57	1457.27	830.85	2391.13	1590.79	996.93	775.87
Klf6	20.54	58.40	88.52	11.74	137.95	13.00	191.99	191.97
Klhdc1	59.41	8.71	8.98	2.94	279.90	904.88	692.95	409.93
Klhdc10	120.74	924.05	1.95	253.46	740.73	1166.84	673.95	826.86
Klhdc2	209.08	9.29	137.20	18.23	26049.11	22438.14	21561.99	14697.67
Klhdc3	74.74	77.40	189.65	313.16	6684.56	9570.72	5836.61	3588.40
Klhdc4	415.00	477.92	1111.95	187.17	213.18	218.45	110.99	119.98
Klhdc7a	668.09	286.50	731.50	664.61	976.90	840.90	258.53	263.32
Klhl12	684.07	1025.18	564.49	15.69	2458.14	4899.46	3002.04	2373.41
Klhl15	1.92	699.72	912.09	10.79	2051.51	2803.63	1955.13	1666.98
Klhl18	123.48	118.07	2.92	0.98	2209.20	2604.65	1685.89	974.84
Klhl2	243.39	348.35	2.92	334.69	1400.49	1738.77	1445.90	1355.77
Klhl20	4.93	260.52	55.95	158.23	987.89	952.36	797.80	499.34
Klhl21	68.39	363.89	1140.38	713.20	115.16	114.49	46.67	19.64
Klhl22	4.26	54.77	9.19	388.18	132.98	763.14	232.98	606.90
Klhl24	486.38	670.36	429.59	921.64	578.79	472.94	437.97	363.94
Klhl25	28.19	130.49	13.49	125.26	646.76	126.98	522.97	85.99
Klhl28	403.41	26.35	51.10	80.25	2270.17	3181.57	2389.84	2461.59
Klhl3	246.37	57.78	75.50	2.99	27.56	89.14	18.14	12.48
Klhl31	0.99	10.74	3.97	14.81	39.03	28.50	15.03	21.06
Klhl32	1.07	1.11	5.68	3.73	1121.52	635.00	604.50	729.46
Klhl41	4.93	2.76	6.63	77.32	29.21	148.99	6.03	9.90
Klhl42	177.87	218.60	418.87	485.40	1071.61	452.94	726.95	526.91
Klhl7	9.86	0.79	175.34	1386.51	5.00	106.99	65.00	34.99
Klhl8	324.86	0.93	0.84	34.43	41943.74	42502.30	34388.77	25915.70
Klhl9	1.18	33.18	14.61	113.52	4268.44	3954.47	4458.70	3030.50
Klrb1a	52.98	279.86	252.44	268.64	22.50	11.00	16.96	6.16
Kmt2b	13.42	56.59	42.86	1105.85	6761.53	7466.00	5790.62	2737.54
Kmt2c	1093.33	3416.15	4791.67	2299.46	28859.83	23784.50	22040.80	12972.93
Kmt2d	173.89	88.79	209.68	510.46	17371.35	16091.38	13551.65	9287.06
Kmt2e	4.79	91.72	84.84	188.99	365.49	760.70	683.67	377.94
Kmt5a	789.54	1538.78	3025.58	2110.90	2972.91	3140.58	1731.89	1640.73
Kmt5b	74.59	625.25	819.54	1493.10	40.00	559.26	189.05	54.77
Kmt5c	4.73	257.40	109.10	0.98	155.90	131.98	126.99	41.99
Knl1	453.43	1486.63	262.53	711.38	3001.98	2637.87	1738.46	1203.24
Knop1	409.05	4027.54	3112.60	1589.37	409.79	432.60	76.25	115.50
Knstrn	0.96	42.93	4.87	42.08	16686.90	18399.48	15041.98	9602.40
Kntc1	285.55	196.13	73.06	112.54	1632.40	2108.71	1230.92	575.90
Kpna1	895.94	2821.91	1043.28	1605.93	6.00	7.00	61.00	2.00
Kpna2	7181.73	16470.52	16616.50	17423.98	15649.34	27007.71	10507.30	15270.28
Kpna3	331.54	360.06	1085.16	2079.58	18951.09	19992.30	15751.94	10455.26
Kpna4	220.46	1431.65	1197.70	1221.16	22.79	10.40	15.31	10.43
Kpna6	11.57	425.36	604.92	1068.66	4063.27	3122.58	3698.36	3018.57
Kpnb1	437.91	2152.53	7260.07	4332.38	6816.51	8182.90	6484.57	4423.26
Kras	312.16	1188.48	47.73	28.38	8457.91	6232.72	5692.62	2838.45
Krcc1	82.41	733.40	263.98	86.12	3313.79	3180.57	2183.86	1554.75
Kremen1	1.96	3.03	4.59	0.82	534.17	521.30	561.96	242.96
Krit1	273.91	1542.92	1042.88	1492.54	741.80	1351.50	1148.27	686.77
Krr1	549.96	2157.47	3398.35	1389.51	4709.38	5430.84	3295.22	2369.45
Krt222	2.03	4.86	15.89	4.44	11.96	5.35	43.29	2.02
Krt27	2.66	8.48	200.46	7.26	63.04	20.61	34.79	51.13
Krt7	68.08	59.96	47.49	88.24	128.49	109.75	57.31	73.74
Krt8	1.92	1364.07	1.42	1309.40	330.88	4.00	226.74	128.87
Krtcap2	358.37	606.93	1386.16	753.54	88.97	48.99	98.99	93.98
Krtcap3	27.77	0.98	2.37	7.22	97.96	491.93	370.98	26.00
Ksr2	2.02	16.73	3.11	2.54	1140.42	963.02	634.40	273.40
Kti12	165.77	591.31	406.21	983.52	325.88	517.93	552.96	494.92
Ktn1	631.47	499.98	683.90	422.69	10138.49	11357.05	7984.63	7295.87
Kxd1	1532.58	547.32	2218.84	1711.18	207.92	701.40	657.96	375.27
Kyat1	304.71	744.51	740.33	41.58	484.53	272.72	194.99	65.42
Kyat3	3.82	6.31	5.49	8.96	507.34	676.46	395.63	359.98
L1cam	11.35	1.22	7.34	7.90	19.08	15.57	13.11	7.19
L3mbtl2	285.55	1465.60	1349.15	219.21	1259.92	2007.79	1756.28	1023.93
L3mbtl3	47.49	1.03	615.00	19.55	1266.54	1078.86	1088.93	336.94
LOC665443	6.20	6.05	0.99	7.60	16.80	15.06	23.11	12.49
Lactb	169.50	62.45	41.89	52.85	1118.59	771.90	794.95	495.92
Lactb2	1072.56	917.94	1908.39	3087.28	476.76	406.59	407.48	308.74
Lad1	118.11	50.15	163.86	234.67	60.93	70.99	11.00	34.99
Lage3	543.13	185.25	578.13	596.79	197.75	153.19	224.14	146.24
Lair1	7.67	15.61	4.87	15.87	86.26	390.05	368.97	93.98
Lama2	8.22	23.37	275.67	4.88	287.90	499.46	651.63	119.72
Lama5	3.83	161.00	396.22	368.94	989.64	857.89	613.96	427.93
Lamb1	32.58	404.94	400.50	140.92	2364.14	2336.69	2070.86	1152.81
Lamb2	11.50	14.64	21.92	129.66	58.98	98.99	10.00	17.00
Lamc1	6.71	1283.13	158.78	376.77	1739.37	991.87	1695.89	647.89
Lamp1	1312.76	4318.74	2969.00	3816.64	2977.91	3348.55	2268.85	2626.56
Lamp2	464.22	435.27	1699.18	1272.25	11.04	155.10	175.04	219.96
Lamp3	12.80	34.75	1.56	59.24	47.89	119.19	90.63	50.29
Lamtor1	854.66	666.43	3063.31	2499.36	1211.80	1873.92	997.86	630.60
Lamtor2	46.95	589.36	848.45	1087.25	1276.53	1220.84	1244.92	795.87
Lamtor3	0.96	709.38	306.85	667.42	3392.76	3450.45	3830.74	1976.75
Lamtor4	145.65	286.88	478.29	273.04	94.97	52.99	103.99	56.99
Lamtor5	102.53	480.08	252.58	148.75	516.81	1020.86	861.94	745.88
Lancl1	113.55	27.97	179.72	143.86	1125.59	2551.66	1133.92	1121.81
Lap3	1058.84	2620.91	2968.12	2111.88	79.97	178.98	245.98	200.97
Laptm4a	406.29	1557.32	436.40	1014.84	3540.71	3018.60	2122.86	1427.76
Laptm4b	45.04	25.24	1.95	1.30	16441.00	15622.91	13768.09	9438.43
Large2	4.79	66.35	358.47	412.00	19.02	117.99	5.01	4.00
Larp1	1413.94	4699.80	5704.36	2396.94	666.12	697.99	407.35	161.20
Larp1b	203.16	970.46	2135.25	2439.72	1825.57	4310.38	2769.70	2737.00
Larp4	6846.61	28014.24	44049.08	15943.56	11390.56	10216.79	7428.56	6974.65
Larp4b	774.50	3275.86	1251.82	966.01	12054.22	9126.03	8821.71	5835.54
Larp7	20.24	1474.38	1286.81	1825.47	4487.26	4784.23	4164.64	2789.90
Lars	249.14	51.72	21.43	289.67	835.70	633.92	686.95	312.95
Lars2	2660.75	16848.24	14425.50	11038.61	55252.20	22238.86	36182.55	23313.68
Las1l	862.61	249.80	2108.20	1564.39	1705.84	974.92	1208.83	1073.00
Lats1	2.88	153.91	71.11	307.91	253.91	890.88	524.97	490.30
Lbh	2.01	5.06	56.33	4.23	1548.54	1343.82	845.18	871.01
Lbhd1	52.18	490.83	923.26	200.11	34.08	49.93	8.04	12.99
Lbr	35.93	673.66	1251.18	2528.57	684.59	1243.76	688.66	807.37
Lbx1	0.96	46.62	9.86	9.40	865.68	830.89	702.95	547.91
Lclat1	135.11	2922.41	1601.44	743.76	1216.55	984.87	602.96	389.93
Lcmt1	269.26	343.47	236.71	24.47	543.80	569.92	794.95	579.90
Lcor	9.58	1.89	460.54	25.93	1681.39	1949.74	1677.89	875.85
Lcorl	2.02	5.63	2.06	5.96	64.23	321.15	189.48	118.29
Lcp1	7.40	0.98	2.60	6.48	3474.77	3234.92	2086.41	1081.62
Ldah	117.26	2123.83	2093.95	27.52	355.81	558.10	716.62	494.80
Ldb1	298.01	838.18	2079.73	450.17	2001.27	1937.74	951.94	1263.79
Ldhb	137.26	0.98	2.92	2.72	79827.56	81860.59	86427.33	50419.25
Ldhd	0.75	4.89	1.22	0.98	683.39	1398.98	645.60	384.65
Ldlr	1.81	848.26	50.79	526.18	19.65	18.11	5.05	8.66
Ldlrad3	2.99	3.28	1.23	0.98	957.30	661.49	686.78	428.00
Ldlrap1	58.45	569.85	0.97	785.84	526.81	125.98	323.98	300.95
Ldoc1l	0.38	1.09	2.92	571.23	526.81	496.93	498.97	280.95
Lef1	52.45	46.78	147.14	147.53	88.50	211.37	223.76	92.28
Leng1	59.47	398.57	819.13	222.95	131.10	180.87	269.84	106.24
Leng8	1.92	408.85	88.42	47.18	641.45	1705.44	611.41	582.37
Leng9	2.87	1.95	16.79	20.35	117.28	272.30	169.53	69.52
Leo1	497.32	1353.40	2405.18	947.31	350.87	884.88	350.98	568.91
Lepr	16.55	70.99	13.75	88.94	1201.69	2039.49	685.95	480.26
Leprot	1.92	794.11	107.08	0.98	140.95	590.92	805.45	676.40
Leprotl1	56.45	9.76	127.61	128.20	183.93	188.97	182.99	46.99
Letm1	92.84	1056.17	840.10	153.13	2990.29	2705.45	1520.64	1016.09
Letm2	11.53	478.18	96.44	0.86	510.73	1134.71	578.76	689.94
Letmd1	68.03	174.66	238.10	40.12	49.98	72.99	84.99	35.99
Lgals12	1.09	6.93	26.31	0.86	976.70	765.68	391.45	319.82
Lgals3	3.58	50.74	148.65	314.14	2626.04	1733.76	2424.84	1085.82
Lgals9	0.96	0.98	296.43	578.21	9.00	51.99	53.00	8.00
Lgalsl	53.79	77.09	620.51	641.98	668.67	556.45	429.93	314.54
Lgi1	12.12	39.97	34.93	14.55	684.67	149.20	186.50	32.62
Lgmn	36.41	982.23	655.58	1.00	5.12	2.00	27.08	174.01
Lgr4	48.87	166.86	224.55	71.56	98.96	409.95	255.98	146.98
Lgr5	1.93	2.91	2.04	2.95	243.46	59.93	83.18	28.80
Lgr6	7.67	9.76	0.98	1.22	1241.66	1497.08	1128.92	528.15
Lhfpl2	0.31	407.79	420.39	391.45	1637.42	1482.82	1487.90	939.84
Lhfpl4	14.96	78.29	41.43	70.19	332.75	154.93	233.00	94.75
Lias	72.25	3438.59	2350.54	1816.47	127.95	15.00	83.99	13.00
Lig1	82.41	1065.54	1316.03	429.62	2820.97	1472.80	2301.55	1000.83
Lig3	175.74	2649.38	1187.24	983.57	1538.47	1688.43	1193.63	595.27
Lig4	36.41	245.89	4.87	4.55	1387.49	1290.82	1461.91	885.85
Lilra6	88.54	66.83	70.05	0.98	19.01	7.21	15.48	11.68
Lima1	223.35	5.99	531.35	103.76	978.28	1023.31	442.97	268.97
Limch1	1.13	9.16	5.69	2.32	5.07	19.98	50.00	11.20
Limd1	2.99	1.95	238.66	6.85	4259.45	2952.61	2893.81	1618.73
Limd2	43.12	1.95	475.37	9.79	78.97	118.98	151.99	38.99
Limk1	82.98	58.55	60.35	0.68	391.86	450.94	216.99	126.99
Limk2	890.35	1509.02	781.35	1358.77	5282.21	3694.32	3494.67	2069.72
Lims1	247.22	364.74	376.01	1593.20	2315.15	1340.82	1673.89	1609.73
Lims2	71.84	534.10	513.36	2.39	73.97	52.99	223.99	29.70
Lin28a	233.81	99.53	134.43	1517.85	3794.62	5720.24	4370.71	2500.58
Lin28b	1.92	212.72	308.79	6.90	2669.40	1879.74	1346.00	1042.59
Lin37	138.94	72.68	1324.91	859.16	2015.04	2311.21	1757.52	739.06
Lin52	385.20	201.01	121.76	40.12	151.94	542.93	487.97	243.96
Lin54	17.19	553.53	414.97	4.20	2654.03	3680.51	3558.76	1842.69
Lin7c	460.57	1060.31	1365.85	1449.34	5095.39	6058.80	5274.42	4748.42
Lin9	303.76	6.02	717.84	510.84	250.34	390.95	289.13	759.87
Lins1	318.27	238.64	9.39	8.75	410.85	446.94	134.99	19.00
Lipt1	0.96	391.99	645.45	130.16	309.89	1387.48	1481.90	991.54
Litaf	86.24	891.85	3288.61	749.63	3209.82	1685.78	2320.85	1522.75
Lix1	3.94	12.31	39.28	1.07	10.24	6.22	38.76	5.11
Lix1l	0.99	5.15	20.37	54.96	21.98	67.45	36.70	40.49
Llgl1	331.54	988.45	505.57	586.20	5018.17	7341.02	4123.73	1603.74
Llgl2	85.28	4.88	24.35	610.66	1466.47	1450.81	1336.91	885.85
