	Case1	Case2	Case3	Case4	Ctrl1	Ctrl2	Ctrl3	Ctrl4
Creld2	122.65	725.97	262.04	45.02	2197.20	3361.55	2442.84	1681.72
Crem	122.65	0.89	22.24	105.12	94.97	30.00	48.00	27.00
Crip2	2829.62	5759.94	7445.15	12320.92	78.97	71.99	113.99	148.98
Cript	11.51	628.81	872.69	145.67	3157.86	4167.73	2086.19	2589.57
Crk	22.04	51.88	66.25	577.27	11522.18	12183.56	9816.33	7529.68
Crkl	57.68	311.27	82.80	602.57	601.78	617.92	468.97	351.94
Crlf2	0.96	10.73	2.40	1.68	22.99	23.00	36.00	25.00
Crlf3	21.57	201.18	892.21	5.38	940.34	441.94	819.03	340.68
Crls1	6.71	908.44	702.33	317.07	6317.70	5234.30	5541.63	3711.38
Crnkl1	2404.17	3680.59	6040.48	1858.41	4502.36	5360.83	4299.70	3880.23
Crot	473.71	51.39	60.28	26.92	233.48	287.11	301.71	182.89
Crtap	114.03	634.25	731.56	395.36	543.80	302.96	143.99	107.98
Crtc1	4.59	85.00	0.82	1.12	1443.47	1230.84	1538.90	353.95
Crtc2	6.97	92.70	322.43	10.76	61.06	278.45	445.37	51.73
Crtc3	1.00	22.95	8.07	27.05	2073.29	2980.60	1670.34	1163.25
Crx	2.32	2.57	1.86	1.10	57.03	54.65	42.66	38.84
Cry1	0.96	215.64	476.34	90.03	10070.33	7904.94	6869.55	4054.32
Cry2	1.92	453.18	15.62	1.29	239.21	77.51	83.39	110.03
Crybg1	179.63	5.66	508.05	154.62	108.24	11.00	207.99	14.00
Crybg2	10.71	46.49	14.50	12.15	28.46	19.36	14.03	4.09
Crybg3	18.33	83.87	39.99	50.02	2747.39	3751.19	3506.21	1803.02
Cryz	9.65	27.44	656.55	14.59	7.07	170.20	293.18	79.03
Cryzl1	77.62	173.69	49.04	1181.20	259.90	149.98	121.99	209.96
Cs	743.54	3635.60	3726.00	1035.60	15447.30	19995.07	14063.65	9024.88
Csad	30.66	121.97	25.33	364.05	9866.40	8442.87	7675.49	4398.27
Csdc2	7.23	1.49	15.11	0.98	11.62	7.32	7.91	7.01
Csde1	3579.98	12197.35	12762.32	8488.83	15949.98	18193.47	14577.71	9364.86
Cse1l	1426.79	2684.33	3210.89	4224.73	709.93	1366.82	1050.93	886.19
Csf1r	210.18	597.50	323.28	88.26	4359.32	1490.55	1736.27	1091.41
Csf2ra	72.98	57.25	203.31	114.93	55.19	375.43	92.28	1.00
Csf2rb2	14.37	20.45	16.72	32.51	19.64	12.76	1.05	11.99
Csk	70.91	454.71	734.48	84.16	881.68	701.91	645.96	680.89
Csl	6.84	29.74	11.06	7.81	22.55	56.69	29.87	31.06
Csmd3	1.16	8.93	5.03	0.91	256.91	123.42	409.97	69.99
Csnk1a1	584.61	1222.63	1317.01	545.09	7495.27	9310.76	7034.53	5042.17
Csnk1d	858.80	645.96	491.93	378.73	1949.29	1565.79	1038.93	519.91
