ProbeSet	log2(FC)	p-value
201156_s_at	 -0.2182	1.35e-01
201159_s_at	  0.0296	4.72e-01
201161_s_at	 -1.0622	7.62e-05
201162_at	  0.0556	3.77e-01
201168_x_at	 -0.5666	2.15e-02
201169_s_at	 -1.4491	2.17e-04
201170_s_at	 -1.5286	1.64e-03
201171_at	  0.0708	3.12e-01
201178_at	  0.3507	3.53e-02
201179_s_at	 -0.1819	3.39e-01
201180_s_at	 -0.2272	3.91e-01
201181_at	 -0.5036	4.04e-02
201182_s_at	 -0.1391	4.30e-02
201185_at	  0.1560	4.83e-01
201190_s_at	  0.2883	3.09e-02
201192_s_at	 -0.1594	3.48e-01
201194_at	  0.1627	2.11e-01
201195_s_at	 -1.0394	2.95e-03
201196_s_at	 -0.5577	9.95e-03
201199_s_at	 -0.1679	1.50e-01
201200_at	  0.5673	6.40e-02
201203_s_at	 -0.0739	4.77e-01
201204_s_at	 -0.1696	3.21e-02
201205_at	 -0.0048	9.56e-01
201206_s_at	 -0.3742	4.39e-02
201207_at	 -0.2575	2.57e-02
201209_at	 -0.0422	7.64e-01
201211_s_at	 -0.0929	5.73e-01
201217_x_at	  0.0259	7.72e-01
201218_at	  0.2438	1.72e-01
201220_x_at	  0.1198	2.95e-01
201221_s_at	 -0.3911	4.36e-02
201223_s_at	 -0.1296	6.46e-01
201226_at	 -0.1066	1.82e-01
201229_s_at	 -0.2634	5.70e-02
201230_s_at	 -0.0424	7.84e-01
201233_at	 -0.7308	9.85e-04
201234_at	  0.2254	4.48e-03
201236_s_at	  1.2123	9.08e-04
201237_at	  0.0631	5.79e-01
201240_s_at	  0.0069	9.67e-01
201241_at	  0.1295	5.67e-01
201242_s_at	 -0.1460	2.13e-01
201247_at	  0.3745	1.83e-02
201250_s_at	  1.0930	8.69e-04
201251_at	 -2.3495	1.34e-03
201254_x_at	  0.0926	1.44e-01
201255_x_at	 -0.1330	6.32e-03
201258_at	 -0.0366	3.82e-01
201259_s_at	  0.1082	5.46e-01
201260_s_at	 -0.0592	7.66e-01
201263_at	 -0.3132	2.13e-01
201266_at	 -1.2753	1.95e-02
201272_at	 -0.1733	2.37e-01
201275_at	 -0.5699	1.89e-02
201279_s_at	 -0.3482	2.25e-01
201280_s_at	 -0.6080	1.05e-02
201284_s_at	 -0.4684	7.25e-03
201287_s_at	  0.4026	1.09e-01
201288_at	 -1.1700	6.84e-04
201289_at	  0.1027	1.15e-01
201291_s_at	 -0.3989	1.79e-01
201292_at	 -1.0188	2.07e-02
201295_s_at	 -0.3411	4.59e-02
201297_s_at	 -0.1492	4.61e-01
201298_s_at	 -0.3784	1.60e-01
201301_s_at	  0.9727	3.67e-03
201302_at	  1.5542	2.89e-02
201307_at	 -0.5350	1.65e-02
201308_s_at	 -0.2305	1.24e-01
201312_s_at	  1.4546	2.12e-02
201313_at	 -0.1651	3.21e-01
201316_at	 -0.0880	3.46e-01
201317_s_at	 -0.0389	8.43e-01
201319_at	 -0.8233	1.53e-03
201322_at	 -0.2264	1.09e-01
201326_at	 -0.7855	2.89e-02
201327_s_at	 -0.8966	6.03e-02
