ProbeSet	log2(FC)	p-value
212673_at	  0.2629	5.02e-02
212675_s_at	  0.5646	9.39e-02
212676_at	 -0.3109	3.12e-02
212677_s_at	  0.5546	2.20e-02
212679_at	  0.3349	1.27e-01
212681_at	  0.2057	1.50e-01
212688_at	 -1.0793	2.06e-02
212689_s_at	  0.0513	8.19e-01
212691_at	 -0.2270	9.81e-02
212692_s_at	  0.7160	4.24e-02
212695_at	 -0.0511	6.36e-01
212696_s_at	  0.1661	2.76e-01
212698_s_at	  0.2566	9.08e-02
212699_at	  0.1759	3.50e-01
212700_x_at	  0.0563	6.96e-01
212701_at	  0.0948	4.04e-01
212704_at	  0.0516	6.95e-01
212705_x_at	  0.0403	7.33e-01
212707_s_at	  0.5385	9.57e-03
212709_at	 -0.8465	6.09e-02
212710_at	  0.0091	9.42e-01
212713_at	  0.3325	1.40e-01
212715_s_at	  0.2404	7.23e-02
212716_s_at	 -0.0087	9.58e-01
212717_at	  0.2058	2.89e-01
212719_at	 -0.1134	5.39e-02
212720_at	  0.2000	3.10e-01
212721_at	  0.2412	3.77e-01
212723_at	 -0.3553	9.09e-02
212724_at	  0.3257	1.47e-01
212726_at	  0.2238	1.27e-01
212730_at	  0.2773	1.24e-01
212731_at	  0.3856	2.03e-01
212732_at	 -0.0193	7.42e-01
212735_at	  0.0824	2.00e-01
212737_at	  0.3278	8.84e-02
212738_at	  0.7314	2.63e-02
212739_s_at	  1.0646	3.02e-03
212740_at	 -0.2794	1.86e-01
212741_at	  0.1360	2.44e-01
212742_at	  0.2360	1.19e-01
212746_s_at	  0.0772	2.07e-01
212750_at	  0.0678	5.75e-01
212751_at	 -0.9618	9.34e-03
212752_at	  0.3285	7.83e-02
212756_s_at	 -0.0016	9.89e-01
212757_s_at	  0.4556	1.41e-01
212758_s_at	 -0.0978	5.45e-02
212759_s_at	  0.0753	5.65e-01
212760_at	 -0.0528	5.93e-01
212761_at	 -0.1333	1.08e-01
212762_s_at	  0.0681	4.45e-01
212769_at	  0.0235	8.55e-01
212771_at	 -0.6341	2.21e-02
212774_at	  0.5698	6.27e-02
212775_at	  2.2269	1.19e-02
212776_s_at	  1.8878	7.17e-03
212777_at	  0.0217	8.31e-01
212779_at	  0.5723	8.19e-02
212782_x_at	  0.2994	2.24e-02
212784_at	  0.1631	1.27e-01
212786_at	  0.4633	1.88e-02
212787_at	  0.4191	1.85e-01
212788_x_at	 -0.2206	2.18e-02
212789_at	 -0.3675	7.66e-02
212792_at	 -0.4410	2.96e-02
212793_at	  0.3936	9.58e-02
212794_s_at	 -0.3454	1.49e-01
212795_at	 -0.4914	3.43e-02
212797_at	 -0.0431	4.42e-01
212798_s_at	  0.2597	1.42e-01
212799_at	 -0.4558	3.96e-02
212801_at	 -0.1078	2.38e-01
212802_s_at	  0.7966	5.56e-02
212804_s_at	  0.3112	5.02e-02
212805_at	  0.1533	1.56e-01
212806_at	  0.0431	4.40e-01
212808_at	  0.2217	4.29e-02
212811_x_at	 -0.1132	1.81e-01
212812_at	 -0.0148	8.70e-01
212813_at	  0.1261	1.02e-01
212818_s_at	  0.2241	2.26e-03
212819_at	  0.0979	2.13e-01
212820_at	  0.7424	3.43e-02
212822_at	  0.2963	1.53e-01
212823_s_at	  0.3513	1.13e-01
212827_at	  0.3611	1.01e-01
212830_at	 -0.0067	9.62e-01
212831_at	  0.0962	3.33e-01
212834_at	 -0.1543	8.07e-02
212837_at	  0.1052	4.11e-01
212838_at	  0.0071	9.61e-01
212841_s_at	  0.4149	2.86e-02
212842_x_at	  0.2171	1.62e-01
212843_at	  0.1984	8.67e-02
212845_at	 -0.0701	4.27e-01
212846_at	 -0.6676	1.06e-01
212847_at	 -0.3852	3.61e-02
212848_s_at	  0.0443	2.82e-01
212849_at	  0.1399	1.86e-01
212850_s_at	  0.3520	1.58e-01
212851_at	 -0.1013	4.92e-01
212853_at	 -0.0499	4.84e-01
212854_x_at	 -0.1363	4.81e-02
212855_at	  0.1002	3.55e-01
212856_at	 -0.3683	5.28e-02
212857_x_at	 -0.7483	5.37e-02
212858_at	  0.0373	7.34e-01
212861_at	  0.0829	4.96e-01
212862_at	 -0.0933	2.25e-02
212864_at	 -0.0814	1.45e-01
212865_s_at	  0.3997	6.43e-02
212866_at	  0.0754	4.36e-01
212868_x_at	  0.2521	3.87e-02
212869_x_at	 -0.0524	4.01e-01
212870_at	 -0.0012	9.92e-01
212871_at	 -0.6437	7.85e-02
212872_s_at	  0.3907	7.10e-02
212873_at	  0.7430	1.03e-03
212874_at	  0.2978	7.31e-02
212876_at	  0.0822	5.31e-01
212877_at	 -0.1281	4.67e-01
212878_s_at	  0.0170	9.47e-01
212879_x_at	  0.1058	2.58e-02
212882_at	 -0.0465	4.10e-01
212883_at	  0.2063	1.26e-01
212884_x_at	  1.2768	2.19e-05
212885_at	 -0.1391	4.18e-01
212887_at	 -0.5420	5.19e-02
212892_at	  0.1573	8.47e-02
212898_at	  0.2535	3.94e-01
212901_s_at	  0.0114	8.04e-01
212905_at	  0.5595	1.31e-01
212906_at	  0.4138	7.90e-02
212907_at	  1.5061	8.65e-03
212908_at	 -0.1851	2.81e-01
212909_at	  0.2063	2.00e-01
212911_at	  0.2202	4.90e-01
212913_at	  0.2337	1.52e-01
212916_at	  0.1520	1.08e-01
212918_at	  0.1104	4.14e-01
212919_at	 -0.2144	3.30e-01
212920_at	  0.2752	1.26e-01
212921_at	  0.2332	4.35e-01
212922_s_at	 -0.4036	1.02e-04
212925_at	  0.3344	1.27e-01
212931_at	 -0.1868	1.01e-01
212932_at	  0.1484	1.63e-01
212934_at	 -0.0670	5.39e-01
212935_at	  0.1879	3.17e-01
212936_at	  0.2982	1.82e-02
212937_s_at	  0.2795	1.19e-01
212938_at	  0.3485	5.33e-02
212940_at	  0.3165	7.18e-02
212942_s_at	  0.3702	1.59e-01
212946_at	  0.1553	2.36e-01
212951_at	  0.1104	2.16e-01
212952_at	 -0.2100	3.17e-01
212955_s_at	  0.3252	1.23e-01
212957_s_at	  0.1892	5.16e-02
212959_s_at	  0.1302	4.66e-01
212961_x_at	 -0.2790	1.10e-01
212963_at	  0.0649	3.78e-01
212965_at	  0.9037	1.73e-02
212966_at	  1.2681	7.08e-03
212968_at	  0.1094	5.44e-01
212970_at	  0.2793	1.82e-01
212974_at	  0.0991	3.23e-01
212975_at	 -0.0645	5.50e-01
212976_at	  0.0055	9.32e-01
212977_at	  0.2553	1.04e-01
212978_at	 -1.6768	7.82e-04
212983_at	 -0.0018	9.92e-01
212987_at	  0.9220	2.05e-02
212988_x_at	 -0.9429	8.59e-05
212992_at	  0.2442	1.65e-02
212993_at	 -0.4366	4.91e-02
212994_at	 -0.4006	1.89e-02
212998_x_at	  0.4612	8.11e-02
212999_x_at	  0.1112	9.57e-02
213000_at	 -0.1318	5.49e-01
213002_at	  0.2124	2.87e-01
213003_s_at	 -0.0162	8.69e-01
213004_at	  0.1816	6.42e-02
213005_s_at	  0.0337	7.18e-01
213007_at	  0.5676	1.84e-01
213010_at	  0.0047	9.80e-01
213011_s_at	 -0.5259	1.80e-02
213012_at	 -0.0519	5.97e-01
213016_at	 -0.0279	8.98e-01
213017_at	 -0.1967	3.11e-01
213021_at	  0.0333	8.08e-01
213022_s_at	  0.0068	9.36e-01
213024_at	 -0.0714	6.05e-01
213026_at	  0.0580	7.85e-01
213030_s_at	  0.2732	7.81e-02
213032_at	 -0.1047	1.48e-01
213033_s_at	  0.4877	1.09e-01
213034_at	  0.2990	5.82e-02
213036_x_at	 -1.1899	6.48e-03
213037_x_at	  0.1965	1.08e-01
213039_at	  0.6456	2.10e-02
213040_s_at	 -0.1890	2.04e-01
213046_at	  0.5623	1.07e-02
213048_s_at	 -0.5392	8.41e-03
213050_at	  0.5416	1.57e-02
213051_at	  0.9663	1.16e-02
213053_at	 -0.2694	2.74e-01
213055_at	  0.1063	7.17e-02
213059_at	  0.1710	4.11e-01
213060_s_at	  0.2054	1.43e-01
213067_at	  0.4455	1.17e-01
213069_at	  0.3435	1.03e-01
213071_at	  0.2286	1.59e-01
213073_at	  0.4634	3.34e-03
213076_at	 -0.1157	8.91e-02
213079_at	 -0.1172	2.24e-01
213080_x_at	 -0.1225	1.47e-01
213081_at	  0.1457	1.55e-01
213082_s_at	  0.2712	7.76e-02
213085_s_at	  0.1928	3.61e-01
213086_s_at	  0.2619	3.17e-01
213087_s_at	  0.0296	8.60e-01
213088_s_at	  0.6404	4.65e-02
213092_x_at	  0.6935	1.16e-01
213094_at	 -0.0347	6.98e-01
213096_at	  0.4512	1.31e-01
213101_s_at	 -0.2103	8.14e-02
213102_at	  0.0134	9.62e-01
213103_at	  0.3167	1.12e-01
213104_at	 -0.0007	9.97e-01
213107_at	 -0.3346	2.95e-02
213108_at	  0.3594	9.09e-02
213110_s_at	  0.1441	1.73e-01
213112_s_at	 -0.0214	8.07e-01
213114_at	  0.0037	7.52e-01
213115_at	  0.6267	1.72e-02
213116_at	 -0.3266	4.04e-02
213117_at	  0.0302	5.64e-01
213118_at	 -0.1816	2.47e-01
213122_at	  0.0388	7.15e-01
213126_at	  0.2730	1.10e-01
213127_s_at	  0.2232	4.25e-02
213129_s_at	 -1.8846	5.56e-03
213130_at	  0.0051	9.63e-01
213131_at	  0.5060	9.51e-02
213133_s_at	 -0.9019	3.09e-02
213134_x_at	 -0.5474	2.28e-02
213135_at	  0.0515	3.60e-01
213136_at	  0.5185	5.58e-02
213139_at	  0.2011	3.40e-02
213140_s_at	  1.1385	3.35e-02
213141_at	  0.0411	3.27e-01
213142_x_at	  0.2995	1.76e-01
213143_at	 -0.0228	7.63e-01
213144_at	  0.0909	4.13e-01
213145_at	 -0.2407	1.52e-01
213150_at	  0.3946	1.35e-01
213151_s_at	 -0.5081	2.92e-02
213152_s_at	 -0.2636	4.11e-02
213154_s_at	 -0.1670	3.26e-01
213155_at	 -0.0287	6.72e-01
213166_x_at	  0.0533	5.21e-01
213167_s_at	 -0.1220	3.59e-01
213168_at	  0.3402	1.67e-01
213169_at	  0.3596	1.36e-01
213171_s_at	  0.1915	2.92e-01
213173_at	 -0.0342	5.33e-01
213174_at	  0.4384	8.14e-02
213175_s_at	 -0.6984	1.24e-02
213176_s_at	  0.3973	4.48e-02
213177_at	  0.2725	2.00e-02
213178_s_at	  0.4100	3.79e-03
213179_at	 -0.0546	1.39e-01
213181_s_at	 -0.0353	7.27e-01
213182_x_at	  1.6319	9.47e-05
213183_s_at	  0.6418	1.97e-02
213184_at	 -0.1665	3.19e-01
213186_at	  1.0933	2.05e-02
213187_x_at	 -0.1553	2.60e-01
213189_at	 -0.9095	1.52e-02
213192_at	  0.3000	1.92e-02
213193_x_at	 -0.2442	8.86e-02
213194_at	  0.3358	1.13e-01
213195_at	  0.4444	4.90e-02
213196_at	  0.1071	3.42e-01
213198_at	 -0.9772	2.58e-02
213201_s_at	  0.3652	7.01e-02
213210_at	  0.2941	1.34e-02
213212_x_at	  0.0317	8.32e-01
213213_at	  0.2510	1.97e-02
213214_x_at	 -1.1533	1.89e-03
213215_at	  0.2019	1.44e-01
213216_at	  0.1381	1.66e-01
213218_at	  0.2515	2.26e-02
213219_at	  0.2694	1.32e-01
213220_at	 -0.1189	6.82e-01
213221_s_at	  0.4003	1.33e-03
213222_at	  0.3855	5.73e-02
213223_at	  0.8094	4.84e-03
213224_s_at	  0.1152	2.76e-01
213225_at	 -0.0521	6.85e-01
213226_at	 -0.3274	2.34e-01
213228_at	  0.0214	9.06e-01
213230_at	  0.0168	9.16e-01
213231_at	  0.3617	8.95e-02
213233_s_at	  0.2904	1.64e-01
213234_at	  0.0190	6.78e-01
213237_at	 -0.4663	6.41e-03
213238_at	 -0.0420	7.32e-01
213241_at	 -0.2799	1.41e-01
213243_at	  1.0660	3.39e-02
213246_at	  0.1290	6.03e-01
213247_at	  0.1134	1.70e-01
213248_at	 -0.1497	4.15e-01
213250_at	  0.4440	4.08e-02
213252_at	  0.0574	6.18e-01
213253_at	 -0.0420	7.36e-01
213254_at	  0.3769	2.93e-02
213256_at	  0.1866	3.77e-01
213257_at	  0.3293	1.54e-01
213259_s_at	 -0.1150	3.07e-01
213265_at	  0.3276	8.44e-02
213266_at	  0.3641	6.97e-02
213268_at	  0.2340	1.28e-01
213270_at	  0.1604	2.56e-01
213271_s_at	  0.2289	1.65e-01
213274_s_at	  1.7054	8.49e-04
213275_x_at	  1.6516	6.39e-03
213276_at	  0.0916	5.43e-01
213277_at	 -0.0379	8.53e-01
213278_at	  0.0955	1.90e-01
213279_at	  0.8819	7.76e-04
213280_at	  0.4469	7.52e-02
213281_at	 -0.0039	9.71e-01
213287_s_at	 -1.4580	1.78e-02
213288_at	  0.4526	2.47e-02
213290_at	  0.2952	1.34e-01
213291_s_at	 -0.2085	2.96e-01
213293_s_at	  0.0757	3.20e-02
213294_at	  0.4725	1.49e-01
213295_at	  0.1547	1.61e-01
213297_at	  0.0136	8.80e-01
213299_at	  0.1443	4.71e-01
213300_at	 -0.0383	4.22e-01
213303_x_at	  0.2797	5.31e-02
213304_at	  0.2273	1.53e-01
213311_s_at	  0.4679	4.09e-02
213313_at	  0.6053	5.38e-02
213315_x_at	 -0.3761	1.77e-03
213316_at	  0.1125	2.54e-01
213317_at	  0.0785	3.86e-01
213318_s_at	 -0.0452	6.27e-01
213319_s_at	  0.2495	1.51e-01
213320_at	 -0.7756	1.30e-02
213321_at	 -0.0381	4.35e-01
213324_at	  0.3622	1.95e-01
213325_at	  0.1634	2.04e-01
213326_at	  0.0305	7.62e-01
213327_s_at	  0.0899	4.14e-02
213331_s_at	  0.6107	4.25e-02
213332_at	  0.1572	9.90e-02
213336_at	  0.1145	1.81e-01
213337_s_at	  0.1926	2.11e-01
213338_at	 -3.2956	1.48e-03
213339_at	  0.2354	1.69e-01
213345_at	  0.3403	1.24e-01
213347_x_at	  0.0410	2.36e-01
213350_at	 -0.1623	5.66e-01
213355_at	  0.1526	3.64e-02
213357_at	 -0.0972	7.17e-01
213358_at	  0.0503	3.03e-01
213362_at	  0.0971	2.61e-01
213364_s_at	  0.2698	4.66e-02
213365_at	  0.3238	2.49e-01
213366_x_at	  0.0264	1.48e-01
213367_at	  0.3345	6.99e-02
213368_x_at	 -0.1271	4.09e-01
213370_s_at	  0.1602	1.35e-02
213374_x_at	 -0.7481	7.15e-04
213377_x_at	  0.1344	5.56e-02
213378_s_at	 -0.0186	8.10e-01
213380_x_at	  0.2354	3.28e-02
213382_at	  0.2387	2.07e-01
213383_at	  0.2508	7.31e-02
213386_at	 -0.0121	8.37e-01
213387_at	  0.3161	2.67e-01
213389_at	  0.4224	1.01e-02
213390_at	  0.0270	8.85e-01
213393_at	  0.0631	6.78e-01
213395_at	  0.5649	7.60e-02
213398_s_at	 -0.0761	1.27e-01
213402_at	  0.0043	9.34e-01
213403_at	  0.1878	7.73e-03
213406_at	  0.4393	5.09e-02
213407_at	 -0.2378	1.10e-01
213409_s_at	 -0.4689	8.52e-03
213410_at	  0.2953	2.05e-01
213411_at	  0.0492	5.91e-01
213414_s_at	  0.1745	1.06e-01
213416_at	  0.1936	1.40e-01
213417_at	  0.3296	4.27e-03
213418_at	 -0.4222	3.81e-03
213420_at	 -0.2231	1.23e-01
213421_x_at	  0.3935	7.64e-02
213424_at	  0.1161	3.03e-01
213425_at	  0.1154	3.40e-03
213426_s_at	  0.0825	2.88e-01
213427_at	 -0.9669	5.93e-03
213429_at	  0.3999	1.36e-01
213430_at	  0.0295	7.00e-01
213433_at	 -0.1510	2.26e-01
213435_at	  0.4534	6.35e-02
213436_at	  0.3087	2.77e-02
213439_x_at	  0.2582	6.11e-02
213440_at	  0.0198	6.05e-01
213441_x_at	  0.2364	8.45e-02
213442_x_at	  0.3762	4.01e-02
213444_at	  0.4739	1.05e-02
213445_at	  0.0700	5.87e-01
213447_at	  0.3707	1.23e-01
213448_at	  0.4415	5.85e-02
213450_s_at	  0.1338	2.38e-01
213451_x_at	  1.5378	2.70e-05
213452_at	 -0.1561	2.01e-01
213453_x_at	 -0.3110	5.82e-03
213456_at	 -0.5934	4.38e-03
213457_at	  0.4122	1.44e-02
213458_at	 -0.1774	4.57e-02
213459_at	 -0.2237	1.88e-01
213462_at	  0.4122	1.08e-01
213463_s_at	  0.0741	3.66e-01
213464_at	  0.2656	6.63e-02
213468_at	 -0.1456	1.26e-01
213470_s_at	  0.0553	7.67e-01
213473_at	 -0.1129	5.02e-01
213475_s_at	  0.0922	4.19e-01
213477_x_at	 -0.2786	1.02e-01
213479_at	  0.1445	1.94e-01
213481_at	  0.0230	8.45e-01
213485_s_at	  0.0054	9.60e-01
213487_at	 -0.0299	6.08e-01
213488_at	 -0.0097	9.27e-01
213489_at	  0.1302	7.48e-02
213490_s_at	  0.7757	1.20e-03
213493_at	  0.1917	2.81e-01
213495_s_at	  0.3571	1.00e-01
213498_at	  0.0823	5.11e-01
213502_x_at	  0.6642	4.76e-02
213503_x_at	  0.7408	1.89e-04
213504_at	 -0.1075	2.43e-01
213511_s_at	  0.1301	2.46e-01
213512_at	  0.2076	1.20e-01
213514_s_at	 -0.2327	4.91e-02
213515_x_at	  0.4550	1.12e-03
213521_at	  0.0147	8.78e-01
213522_s_at	  0.2578	1.52e-01
213529_at	  0.1169	2.36e-01
213530_at	 -0.3279	1.71e-02
213531_s_at	 -0.2629	1.05e-01
213532_at	 -0.3210	3.46e-01
213534_s_at	 -0.1821	2.18e-01
213537_at	  0.1710	6.12e-02
213541_s_at	  0.1948	2.22e-01
213542_at	  0.2744	1.37e-01
213545_x_at	  0.6646	8.04e-03
213546_at	 -0.1633	3.22e-01
213550_s_at	 -0.0604	3.10e-01
213553_x_at	  0.4302	1.31e-02
213554_s_at	 -0.1789	9.37e-03
213555_at	  0.4553	5.65e-02
213556_at	  0.9884	7.15e-02
213557_at	 -0.2315	2.11e-01
213558_at	  0.1685	1.58e-01
213559_s_at	 -0.0295	6.43e-01
213560_at	  0.3396	1.15e-01
213561_at	  0.1526	8.71e-02
213565_s_at	  0.4531	3.14e-02
213566_at	  0.3215	2.14e-01
213571_s_at	 -0.1604	4.42e-01
213572_s_at	 -0.5622	4.49e-02
213573_at	 -0.0868	3.30e-01
213575_at	  0.1091	4.20e-01
213577_at	  0.1495	6.08e-02
213579_s_at	  0.0132	5.72e-01
213582_at	  0.0501	7.13e-01
213584_s_at	  0.0625	4.61e-01
213586_at	  0.2212	1.22e-01
213587_s_at	  0.4095	1.44e-02
213590_at	  0.2963	8.40e-02
213591_at	  0.2274	6.51e-02
213594_x_at	 -0.3692	1.20e-01
213595_s_at	 -0.7127	4.26e-03
213596_at	  0.2883	7.58e-02
213598_at	 -0.9547	1.05e-02
213599_at	 -0.0056	9.71e-01
213601_at	  0.3245	9.88e-02
213616_at	  1.8671	9.41e-03
213617_s_at	  0.9853	2.41e-02
213622_at	  0.2512	1.44e-01
213628_at	  0.0043	9.59e-01
213629_x_at	  0.3201	1.35e-01
213631_x_at	 -0.0460	7.51e-01
213634_s_at	 -0.1321	2.03e-02
213636_at	  0.1637	4.35e-01
213637_at	 -0.3781	4.73e-02
213639_s_at	  0.0637	4.80e-01
213641_at	  0.1971	1.69e-01
213642_at	 -0.1654	5.08e-01
213643_s_at	 -0.1351	5.67e-02
213644_at	  0.0340	6.47e-01
213645_at	  0.3821	5.96e-02
213646_x_at	 -0.4458	1.18e-03
213648_at	 -0.2224	1.04e-01
213649_at	 -0.5089	7.40e-03
213650_at	 -0.0126	7.64e-01
213651_at	  0.3727	7.06e-02
213652_at	  0.0693	2.33e-01
213654_at	  0.1941	6.01e-02
213655_at	 -0.3283	4.96e-02
213658_at	  0.5546	5.35e-03
213661_at	  0.2740	1.92e-01
213668_s_at	  0.2757	3.62e-02
213670_x_at	 -0.3931	2.29e-02
213671_s_at	 -1.6181	8.60e-03
213672_at	 -0.0092	8.57e-01
213679_at	 -0.0536	5.51e-01
213681_at	  0.1589	5.44e-02
213684_s_at	 -0.3575	2.26e-02
213686_at	  0.1852	1.97e-01
213687_s_at	  0.0674	3.29e-01
213688_at	  0.0711	4.23e-01
213689_x_at	 -0.2050	1.90e-01
213692_s_at	  0.1519	2.01e-01
213693_s_at	 -0.1959	7.90e-03
213694_at	 -0.2813	2.94e-01
213695_at	  0.2534	2.41e-01
213697_at	  0.4405	4.05e-02
213698_at	 -0.2911	2.82e-01
213703_at	  0.2182	8.35e-02
213705_at	 -0.2447	1.32e-02
213706_at	  0.3887	4.25e-02
213708_s_at	 -0.0184	8.40e-01
213709_at	  0.1236	5.84e-01
213710_s_at	  0.1898	2.33e-01
213712_at	 -0.2529	7.81e-02
213714_at	  0.2726	7.00e-02
213715_s_at	  0.0824	2.03e-01
213716_s_at	  0.4094	2.70e-02
213717_at	  0.2710	1.29e-01
213718_at	 -0.1537	4.17e-01
213722_at	  0.3728	1.30e-01
213726_x_at	 -0.3799	1.50e-02
213727_x_at	  1.6453	8.00e-04
213728_at	 -0.0056	9.57e-01
213730_x_at	  0.1579	1.02e-01
213731_s_at	  0.1780	1.60e-01
213732_at	  0.3161	7.74e-02
213733_at	  0.0588	3.25e-01
213734_at	  0.1972	4.45e-01
213735_s_at	  0.2478	1.06e-01
213736_at	 -0.0686	6.92e-01
213738_s_at	  0.1139	1.20e-01
213744_at	  0.2354	1.36e-01
213746_s_at	 -0.9625	3.67e-03
213747_at	  0.1474	4.18e-02
213750_at	  0.1343	1.02e-01
213755_s_at	  0.2186	1.97e-01
213756_s_at	 -0.0747	5.32e-01
213758_at	  0.3023	1.53e-01
213759_at	  0.3407	9.06e-02
213763_at	  0.1771	2.63e-01
213764_s_at	 -0.0747	5.70e-01
213767_at	  0.1877	2.55e-01
213772_s_at	  0.2110	8.76e-02
213773_x_at	 -0.5425	2.44e-02
213774_s_at	  0.2071	1.86e-01
213779_at	  0.4676	2.30e-02
213783_at	  0.2046	1.27e-01
213784_at	  0.2176	1.81e-01
213785_at	  0.2571	6.14e-02
213788_s_at	 -0.0157	5.61e-01
213789_at	 -0.8053	3.33e-02
213790_at	  0.3896	1.16e-01
213792_s_at	  0.2342	5.59e-02
213794_s_at	 -0.4073	1.48e-01
213797_at	 -0.0841	5.58e-01
213798_s_at	 -1.0034	1.67e-02
213800_at	 -0.9309	8.91e-03
213801_x_at	  0.1443	2.29e-01
213805_at	  1.9108	7.85e-03
213811_x_at	  0.2364	1.01e-02
213812_s_at	  0.0869	5.85e-01
213814_s_at	  0.2904	1.53e-01
213815_x_at	 -0.1304	2.47e-01
213816_s_at	  0.5228	9.92e-02
213821_s_at	  0.2269	1.11e-01
213822_s_at	  0.0317	9.11e-01
213824_at	  0.2222	1.40e-01
213825_at	  0.1083	2.31e-01
213827_at	  0.1002	1.28e-01
213828_x_at	  0.4349	5.41e-03
213829_x_at	  0.0653	4.31e-01
213832_at	  0.4418	9.11e-02
213836_s_at	  0.1601	2.18e-02
213837_at	  0.2408	4.37e-02
213839_at	  0.0681	2.39e-01
213841_at	  0.5452	3.92e-02
213845_at	  0.5351	5.40e-02
213846_at	  0.4321	7.01e-02
213847_at	  0.3449	8.88e-02
213850_s_at	 -0.1766	2.24e-01
213851_at	 -0.0105	9.30e-01
213858_at	  0.1399	1.46e-01
213864_s_at	 -0.1569	4.55e-01
213866_at	  0.2407	3.15e-02
213868_s_at	 -0.1197	4.28e-01
213870_at	  0.4385	5.40e-02
213871_s_at	  0.0588	5.14e-01
213873_at	  0.2873	1.91e-01
213875_x_at	 -0.1817	1.42e-01
213876_x_at	  0.2444	5.01e-02
213877_x_at	  0.1641	1.25e-01
213879_at	 -0.1414	5.87e-02
213887_s_at	 -0.3229	2.06e-01
213890_x_at	 -0.1386	7.96e-02
213891_s_at	  1.4282	3.97e-03
213893_x_at	 -0.3735	2.71e-02
213896_x_at	  0.3776	1.14e-01
213897_s_at	 -0.3585	2.10e-01
213898_at	  0.1899	8.66e-02
213899_at	 -0.4053	3.19e-03
213901_x_at	 -0.0030	9.63e-01
213907_at	 -0.2443	9.79e-02
213908_at	  0.0249	5.78e-01
213909_at	  0.0009	9.95e-01
213911_s_at	 -0.3700	9.74e-02
213912_at	  0.2112	1.83e-01
213913_s_at	  0.2073	5.80e-02
213915_at	  0.2287	1.45e-01
213917_at	  0.6886	1.17e-01
213918_s_at	 -0.6113	5.40e-02
213919_at	  0.3251	2.54e-02
213921_at	  0.1439	3.62e-01
213924_at	  0.2164	1.71e-02
213925_at	  0.3989	1.14e-01
213926_s_at	 -0.0298	4.26e-01
213927_at	  0.0978	5.62e-01
213928_s_at	  0.2310	1.01e-01
213929_at	  0.2859	4.80e-02
213931_at	  0.2006	5.40e-02
213934_s_at	 -0.2022	3.84e-01
213938_at	  0.2510	1.40e-01
213939_s_at	 -0.2747	1.60e-01
213940_s_at	 -0.8668	1.28e-02
213942_at	  0.2010	1.78e-01
213944_x_at	  0.0130	9.03e-01
213946_s_at	  0.3260	6.91e-02
213949_s_at	  0.1622	1.51e-01
213951_s_at	 -0.3476	2.02e-01
213952_s_at	  0.0725	5.23e-01
213953_at	  0.3452	3.20e-02
213955_at	  0.3550	9.87e-02
213957_s_at	  0.1138	4.16e-01
213960_at	  0.2030	2.84e-01
213962_s_at	 -0.1782	3.59e-01
213963_s_at	  0.0079	9.67e-01
213970_at	  0.2034	1.18e-01
213977_s_at	  0.2835	1.21e-01
213980_s_at	 -0.0072	9.80e-01
213981_at	  0.0913	4.50e-01
213982_s_at	  0.9969	3.70e-02
213983_s_at	 -0.1461	2.59e-01
213984_at	 -0.1458	1.55e-01
213985_s_at	  0.3153	2.13e-01
213986_s_at	 -0.5897	3.99e-02
213988_s_at	  0.2448	2.69e-02
213990_s_at	  0.2352	2.94e-01
213995_at	  0.5283	1.43e-02
213996_at	  0.3779	2.38e-02
213997_at	  0.0674	5.83e-01
213998_s_at	  0.0184	9.29e-01
213999_at	  0.1064	1.20e-01
214001_x_at	 -0.4685	6.14e-02
214003_x_at	  0.0252	2.46e-01
214004_s_at	 -0.1561	2.61e-01
214005_at	 -0.0355	7.40e-01
214006_s_at	  0.0780	6.40e-01
214012_at	  0.0242	6.35e-01
214015_at	  0.3212	1.85e-01
214016_s_at	 -0.0626	7.35e-01
214017_s_at	 -0.0591	5.38e-01
214019_at	  0.0644	6.69e-01
214020_x_at	 -0.0391	7.15e-01
214023_x_at	 -0.7069	9.41e-03
214025_at	  0.3837	5.92e-02
214027_x_at	  0.2551	4.60e-02
214029_at	  0.3157	6.02e-02
214030_at	 -0.2404	6.51e-02
214031_s_at	 -0.1428	1.72e-01
214037_s_at	  0.5532	1.04e-02
214038_at	  0.1597	1.67e-01
214040_s_at	  0.1550	1.46e-01
214044_at	  0.1413	2.96e-02
214047_s_at	  0.6193	1.98e-01
214048_at	 -0.0289	6.76e-01
214052_x_at	 -0.5362	6.49e-02
214054_at	  0.3211	5.27e-02
214056_at	 -0.4349	1.07e-02
214065_s_at	  0.4579	2.71e-02
214067_at	  0.2797	1.19e-01
214069_at	  0.3101	5.96e-02
214070_s_at	  0.3321	1.56e-01
214071_at	  0.1180	6.34e-02
214073_at	  0.0301	8.66e-01
214074_s_at	  0.2296	1.58e-01
214077_x_at	 -0.0581	5.18e-01
214078_at	  0.0743	3.53e-01
214079_at	 -0.8218	1.42e-02
214080_x_at	  0.1305	4.60e-02
214083_at	  0.5612	4.22e-02
214087_s_at	  0.0992	3.25e-01
214088_s_at	  0.0621	5.16e-01
214089_at	 -0.0452	6.99e-01
214092_x_at	  0.2577	2.24e-01
214096_s_at	 -0.9504	3.05e-03
214098_at	 -0.0809	4.30e-01
214101_s_at	  0.3750	8.75e-03
214104_at	  0.1198	3.22e-01
214106_s_at	 -0.0484	2.93e-01
214108_at	  0.0156	8.84e-01
214110_s_at	  0.2726	3.30e-02
